,name,label,type,side,height,width,r,g,b,n_colors
0,./squares/train/a/412.png,a,png,112,343,343,0.13333334,0.13333334,0.22745098,1
1,./squares/train/a/374.png,a,png,146,504,504,0.3254902,0.3254902,0.2509804,1
2,./squares/train/a/88.jpg,a,jpeg,34,576,576,85.0,83.0,35.0,1
3,./squares/train/a/162.png,a,png,44,384,384,0.28627452,0.28627452,0.31764707,1
4,./squares/train/a/286.bmp,a,bmp,38,556,556,41.0,41.0,64.0,1
5,./squares/train/a/348.jpg,a,jpeg,62,484,484,95.0,94.0,73.0,1
6,./squares/train/a/228.jpg,a,jpeg,83,411,411,87.0,88.0,57.0,1
7,./squares/train/a/200.jpg,a,jpeg,86,521,521,100.0,99.0,78.0,1
8,./squares/train/a/214.png,a,png,108,386,386,0.27450982,0.27450982,0.23529412,1
9,./squares/train/a/32.bmp,a,bmp,58,592,592,29.0,29.0,82.0,1
10,./squares/train/a/201.png,a,png,118,401,401,0.36078432,0.36078432,0.21960784,1
11,./squares/train/a/229.png,a,png,102,549,549,0.34117648,0.34117648,0.2784314,1
12,./squares/train/a/132.bmp,a,bmp,56,458,458,30.0,30.0,64.0,1
13,./squares/train/a/495.bmp,a,bmp,86,430,430,77.0,77.0,60.0,1
14,./squares/train/a/330.bmp,a,bmp,70,350,350,25.0,25.0,46.0,1
15,./squares/train/a/62.png,a,png,28,530,530,0.28627452,0.28627452,0.23529412,1
16,./squares/train/a/293.bmp,a,bmp,40,501,501,25.0,25.0,55.0,1
17,./squares/train/a/188.png,a,png,72,463,463,0.14509805,0.14509805,0.22352941,1
18,./squares/train/a/177.png,a,png,102,460,460,0.40784314,0.40784314,0.30980393,1
19,./squares/train/a/163.jpg,a,jpeg,61,490,490,57.0,56.0,62.0,1
20,./squares/train/a/361.png,a,png,56,512,512,0.3882353,0.3882353,0.23921569,1
21,./squares/train/a/407.png,a,png,54,589,589,0.36862746,0.36862746,0.25490198,1
22,./squares/train/a/375.png,a,png,146,607,607,0.14901961,0.14901961,0.29411766,1
23,./squares/train/a/349.png,a,png,30,489,489,0.24313726,0.24313726,0.25882354,1
24,./squares/train/a/74.jpg,a,jpeg,96,546,546,95.0,94.0,46.0,1
25,./squares/train/a/48.jpg,a,jpeg,117,546,546,67.0,68.0,52.0,1
26,./squares/train/a/411.png,a,png,52,600,600,0.32941177,0.32941177,0.2627451,1
27,./squares/train/a/252.bmp,a,bmp,52,585,585,49.0,49.0,79.0,1
28,./squares/train/a/149.png,a,png,34,383,383,0.38039216,0.38039216,0.24705882,1
29,./squares/train/a/161.png,a,png,62,508,508,0.13725491,0.13725491,0.16078432,1
30,./squares/train/a/175.png,a,png,126,486,486,0.23137255,0.23137255,0.18431373,1
31,./squares/train/a/291.bmp,a,bmp,124,581,581,56.0,56.0,52.0,1
32,./squares/train/a/377.jpg,a,jpeg,93,428,428,50.0,49.0,63.0,1
33,./squares/train/a/405.jpg,a,jpeg,134,437,437,99.0,99.0,61.0,1
34,./squares/train/a/363.jpg,a,jpeg,124,595,595,59.0,59.0,51.0,1
35,./squares/train/a/332.bmp,a,bmp,116,540,540,34.0,34.0,59.0,1
36,./squares/train/a/483.bmp,a,bmp,142,402,402,52.0,52.0,46.0,1
37,./squares/train/a/203.jpg,a,jpeg,123,392,392,54.0,55.0,75.0,1
38,./squares/train/a/25.bmp,a,bmp,82,365,365,90.0,90.0,59.0,1
39,./squares/train/a/24.bmp,a,bmp,58,384,384,82.0,82.0,68.0,1
40,./squares/train/a/216.png,a,png,104,473,473,0.23137255,0.23137255,0.25882354,1
41,./squares/train/a/131.bmp,a,bmp,30,620,620,88.0,88.0,52.0,1
42,./squares/train/a/496.bmp,a,bmp,80,417,417,79.0,79.0,72.0,1
